===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,Sample01,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
1,,1,2010-01-04 00:00:00,7.622499942779541,7.660714149475098,7.585000038146973,7.643214225769043,493729600.0,,Sample01,1,733776.0,Broker,1,100000.0,100000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,
2,,2,2010-01-05 00:00:00,7.664286136627197,7.699643135070801,7.6160712242126465,7.656428813934326,601904800.0,,Sample01,2,733777.0,Broker,2,100000.0,100000.0,BuySell,2,,,Trades - Net Profit/Loss,2,,
3,,3,2010-01-06 00:00:00,7.656428813934326,7.68678617477417,7.526785850524902,7.534643173217773,552160000.0,,Sample01,3,733778.0,Broker,3,100000.0,100000.0,BuySell,3,,,Trades - Net Profit/Loss,3,,
4,,4,2010-01-07 00:00:00,7.5625,7.5714287757873535,7.466071128845215,7.520713806152344,477131200.0,,Sample01,4,733779.0,Broker,4,100000.0,100000.0,BuySell,4,,,Trades - Net Profit/Loss,4,,
5,,5,2010-01-08 00:00:00,7.510714054107666,7.5714287757873535,7.466429233551025,7.570713996887207,447610800.0,,Sample01,5,733780.0,Broker,5,100000.0,100000.0,BuySell,5,,,Trades - Net Profit/Loss,5,,
6,,6,2010-01-11 00:00:00,7.599999904632568,7.607142925262451,7.444643020629883,7.503929138183594,462229600.0,,Sample01,6,733783.0,Broker,6,100000.0,100000.0,BuySell,6,,,Trades - Net Profit/Loss,6,,
7,,7,2010-01-12 00:00:00,7.471070766448975,7.491786003112793,7.372142791748047,7.41857099533081,594459600.0,,Sample01,7,733784.0,Broker,7,100000.0,100000.0,BuySell,7,,,Trades - Net Profit/Loss,7,,
8,,8,2010-01-13 00:00:00,7.423929214477539,7.533214092254639,7.289286136627197,7.523213863372803,605892000.0,,Sample01,8,733785.0,Broker,8,100000.0,100000.0,BuySell,8,,,Trades - Net Profit/Loss,8,,
9,,9,2010-01-14 00:00:00,7.503929138183594,7.51642894744873,7.465000152587891,7.479642868041992,432894000.0,,Sample01,9,733786.0,Broker,9,100000.0,100000.0,BuySell,9,,,Trades - Net Profit/Loss,9,,
10,,10,2010-01-15 00:00:00,7.533214092254639,7.557143211364746,7.352499961853027,7.354642868041992,594067600.0,,Sample01,10,733787.0,Broker,10,100000.0,100000.0,BuySell,10,,,Trades - Net Profit/Loss,10,,
11,,11,2010-01-19 00:00:00,7.440357208251953,7.685357093811035,7.401429176330566,7.679999828338623,730007600.0,,Sample01,11,733791.0,Broker,11,100000.0,100000.0,BuySell,11,,,Trades - Net Profit/Loss,11,,
12,,12,2010-01-20 00:00:00,7.675356864929199,7.698214054107666,7.482142925262451,7.56178617477417,612152800.0,,Sample01,12,733792.0,Broker,12,100000.0,100000.0,BuySell,12,,,Trades - Net Profit/Loss,12,,
